Reporter Name;Partner Name;Trade Flow;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;Bunkers;Export;Export Share in Total Products (%);27,5031;0,1429;0,0207;0,0414;0,0208;0,1039;;0,0209;0,0422;0,2109;0,1267;0,0421;0,042;2,5128;0,0443;0,0223;0,0444;0,0222;0,1342;0,2465;0,0447;0,2686;0,0224;11,7435;21,5673;22,6995
Italy;Burkina Faso;Export;Export Share in Total Products (%);4,8631;4,9816;5,847;6,2578;6,5199;6,2318;6,3489;6,6778;7,2723;7,6566;7,6842;7,5221;7,1053;8,0053;8,4479;8,2369;8,3722;9,3917;9,6377;9,5025;10,3086;10,2283;10,9172;11,9235;11,4499;11,6211
Italy;Burundi;Export;Export Share in Total Products (%);5,9052;6,1658;4,0431;3,1703;3,9244;3,9053;3,5803;3,6311;4,1526;4,092;4,0321;5,8365;4,4356;3,9137;3,969;3,8068;3,9085;3,8854;3,6002;3,6082;3,1753;2,171;1,9463;2,8796;3,0036;3,3009
Italy;Cambodia;Export;Export Share in Total Products (%);0,47;0,7962;1,8661;0,9532;1,4535;1,5372;1,3322;2,0451;2,4663;2,9319;2,871;2,6759;3,4896;2,8241;3,2373;2,9831;4,3082;4,7957;6,4177;7,2613;8,1843;9,4897;11,0291;11,6535;12,85;14,8768
Italy;Cameroon;Export;Export Share in Total Products (%);12,7707;14,904;16,2762;16,7426;18,0648;17,3245;17,9434;19,8873;20,0885;19,363;18,2605;16,0346;16,2918;16,7667;17,051;15,8949;16,5445;18,095;17,9338;19,0498;19,4097;19,6732;20;20,4949;21,477;20,4838
Italy;Canada;Export;Export Share in Total Products (%);51,083;51,5925;51,5654;52,1136;54,402;53,926;56,1199;57,3038;56,9772;57,6672;58,0536;58,4071;57,8095;58,6169;56,7406;54,4969;55,8517;56,5497;57,6029;56,8131;57,4687;58,7959;59,4183;59,9325;60,7046;60,0723
Italy;Cape Verde;Export;Export Share in Total Products (%);1,8186;3,3075;5,1006;6,5064;6,4369;8,3091;9,2215;10,0167;10,6029;8,8378;8,4231;8,8917;10,0063;9,8288;10,7982;9,1051;7,9947;9,325;7,3569;7,8664;8,542;7,9902;8,6353;9,7638;10,0045;9,1341
Italy;Cayman Islands;Export;Export Share in Total Products (%);1,8594;1,2862;1,4514;1,2433;1,3081;2,0565;2,0192;1,3564;1,7917;2,4256;1,8999;2,3177;1,8709;2,0903;1,9956;2,2707;2,0431;2,087;2,0572;2,3084;3,1306;2,932;3,132;4,0945;4,2683;4,9514
Italy;Central African Republic;Export;Export Share in Total Products (%);3,0037;3,4708;2,6747;1,4505;1,6196;2,5343;2,2065;2,3372;1,8128;1,7085;1,5833;1,2221;1,5976;1,8679;2,3282;1,6696;2,1541;2,1092;1,7218;1,143;2,5939;2,0815;2,6622;2,8121;3,5456;3,7983
Italy;Chad;Export;Export Share in Total Products (%);1,083;2,205;2,4881;2,8388;2,2218;2,3265;2,2273;2,4624;2,6981;2,6999;2,7021;2,3177;2,7118;3,2688;3,082;3,0499;3,4866;3,2194;4,517;5,0202;7,7818;5,7968;4,1834;3,982;2,7326;3,1427
Italy;Chile;Export;Export Share in Total Products (%);36,1259;38,6076;39,2287;41,5458;41,9643;38,9904;40,4038;39,879;38,6172;38,7049;39,202;38,3902;39,794;39,6931;40,5987;38,602;40,5507;43,0284;44,3873;44,2627;44,4767;45,9042;44,8546;45,3543;46,7706;46,0773
Italy;China;Export;Export Share in Total Products (%);33,6535;36,178;39,1665;42,3954;43,6462;43,9344;47,6478;51,6903;54,3423;55,3048;56,9981;59,292;60,8367;64,0205;63,0155;63,6465;64,7124;66,8073;67,822;68,5119;68,6047;69,427;69,9105;70,2362;70,9801;71,5804
Italy;Christmas Island;Export;Export Share in Total Products (%);;;;;;;;;0,0211;0,0211;0,0422;0,0211;0,042;0,0889;0,0222;;;;;0,0224;;;;;;0,0226
Italy;Cocos (Keeling) Islands;Export;Export Share in Total Products (%);0,3474;;0,2281;0,1865;0,2699;0,187;;;0,0843;;0,0633;0,0211;0,021;;0,0443;;;;0,0224;0,0224;0,0224;0,1119;;0,0225;;0,0226
Italy;Colombia;Export;Export Share in Total Products (%);33,6943;35,096;34,9368;35,5367;36,4618;31,6161;33,9301;35,0167;34,3381;34,4864;33,8189;35,2718;37,1242;37,5361;37,1619;35,6857;38,1746;39,6092;41,1896;41,394;42,5537;42,3008;42,5727;42,3847;42,5474;44,2686
Italy;Comoros;Export;Export Share in Total Products (%);1,1238;0,6329;1,4928;1,264;1,7857;1,7865;0,7286;0,5634;0,6745;0,7171;0,7389;0,6953;1,009;0,845;0,7095;0,4898;0,7551;0,7549;0,4696;0,7172;0,5814;0,761;0,604;0,9449;0,9937;1,0626
Italy;Congo, Dem. Rep.;Export;Export Share in Total Products (%);10,3188;11,7191;11,5903;7,4803;5,8762;4,7154;4,5379;5,7596;5,4384;5,927;6,6076;8,9549;10,1955;10,696;11,3304;8,9715;8,8163;9,6803;10,9123;10,1748;10,7782;10,1611;9,3512;10,7312;10,0497;9,948
Italy;Congo, Rep.;Export;Export Share in Total Products (%);9,8284;10,6166;10,9683;12,7435;14,3688;11,9443;13,8218;16,9866;17,4325;16,2202;15,4317;15,8239;16,3759;16,9446;18,204;19,2565;18,9207;19,96;21,1091;21,9632;23,949;21,9561;18,3669;17,9528;18,6314;18,6525
Italy;Cook Islands;Export;Export Share in Total Products (%);0,5517;;0,1866;0,2694;0,1453;0,1039;;;0,1476;0,3164;0,0422;0,1264;0,0631;0,0667;0,0887;0,0668;0,0444;0,111;0,0894;0,0448;0,0671;0,1343;0,0895;0,18;0,3162;0,3617
Italy;Costa Rica;Export;Export Share in Total Products (%);15,611;16,2311;17,3129;18,4625;18,6877;19,8587;20,587;21,5359;21,5641;21,873;20,3927;20,1433;20,4751;21,0362;19,6896;18,2102;19,5869;20,4263;21,0197;20,7306;21,7352;23,6571;24,3624;25,1519;24,0515;23,9882
Italy;Cote d'Ivoire;Export;Export Share in Total Products (%);17,593;19,9061;22,4342;23,6428;24,9169;24,3872;20,6286;23,7062;22,5548;21,5355;20,6249;19,0687;18,7093;19,5464;20,0665;19,9688;20,2087;18,0062;21,9812;22,4563;23,5018;25,6714;25,7047;25,3768;26,0614;25,0961
Italy;Croatia;Export;Export Share in Total Products (%);74,152;73,1727;71,9262;72,4409;70,6603;69,1525;69,4213;71,5359;73,1239;73,128;73,3798;73,1353;72,6929;73,0265;71,6186;69,8575;68,8652;69,1607;67,2853;79,9866;82,3345;83,1916;84,0716;84,7694;85,3433;85,1458
Italy;Cuba;Export;Export Share in Total Products (%);16,3465;17,1294;19,9876;21,8193;25,6229;26,6514;28,5803;30,3422;29,2791;28,0742;25,4592;23,4513;23,8596;24,6386;25,898;21,0151;22,163;22,6465;25,1565;25,2577;22,9875;25,8505;23,8255;24,4319;24,8645;25,3222
Italy;Curaçao;Export;Export Share in Total Products (%);;;;;;;;;;;;;;;;;;9,1474;8,9893;4,9529;4,2263;4,0286;4,5414;3,4871;4,449;4,4088
Italy;Cyprus;Export;Export Share in Total Products (%);43,7474;45,6921;45,3038;45,172;45,9302;46,988;48,4804;48,0801;47,2808;47,3951;55,0771;55,9208;55,9176;59,5063;59,9778;60,1736;61,0038;60,8348;61,4714;59,6818;61,7397;61,1683;62,3937;62,9021;64,9729;65,295
Italy;Czech Republic;Export;Export Share in Total Products (%);54,8427;58,4524;59,1126;59,2416;61,1711;62,0897;63,5512;65,6302;66,6526;66,6526;72,0287;73,0299;74,8581;77,5851;78,4922;78,2725;80,5241;80,5284;81,4401;82,2501;82,2674;83,4825;84,519;84,207;84,7335;85,3493
Italy;Denmark;Export;Export Share in Total Products (%);55,0879;56,4924;59,4236;57,6461;58,8455;59,3477;64,2381;64,6077;65,0506;63,5731;64,9989;64,6018;65,6296;67,8452;66,9845;65,6055;67,7104;67,7398;68,5823;68,8032;69,119;70,4118;70,7383;71,3611;72,1319;72,8013
Italy;Djibouti;Export;Export Share in Total Products (%);6,4569;6,3291;6,5727;5,8641;7,309;6,1487;6,4321;5,9683;4,8272;4,8302;4,8554;5,0147;4,4145;4,9144;4,4346;4,8085;5,5519;5,373;5,7245;6,8803;8,6538;9,2883;8,7248;8,5264;7,9268;9,4054
Italy;Dominica;Export;Export Share in Total Products (%);2,1046;1,6946;1,3684;1,8235;1,5988;1,3918;1,811;1,5025;1,328;0,9281;1,2455;1,3274;1,1352;1,223;1,286;0,9795;1,3991;1,3544;0,8274;0,8516;0,8945;0,9848;1,1186;0,9224;2,0551;1,8539
Italy;Dominican Republic;Export;Export Share in Total Products (%);17,9199;18,7628;20,2156;21,4671;23,3804;22,8292;26,6861;27,2329;27,656;24,9314;24,7203;25,2002;25,0368;24,483;25,0333;23,3972;23,7619;23,6679;24,2621;24,2492;25,3801;28,4244;28,9038;29,1564;29,5845;29,8666
Italy;East Timor;Export;Export Share in Total Products (%);;;;;;;;;0,274;0,1266;0,0422;0,4846;0,1892;0,1779;0,133;0,2671;0,3331;0,444;0,3131;0,2913;0,1789;0,2462;0,3132;0,5624;0,271;0,1809
