Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;Bulgaria;Import;  All Products;Import (US$ Thousand);325100,096;504825,152;517181,184;607971,904;615504,64;563943,573;676323,523;846637,18;918900,697;1169180,045;1342791,987;1512536,446;1600723,717;1722061,766;1722343,803;1550634,548;2144143,324;2920349,867;2870094,552;3144204,596;3023048,924;2549582,922;2785008,883;2518475,872;2865311,24;2709992,478
Italy;Bunkers;Import;  All Products;Import (US$ Thousand);;;;;;;;;;;;;;;;;;;;;;;;0,986286713;;166,2259444
Italy;Burkina Faso;Import;  All Products;Import (US$ Thousand);13946,301;19967,392;16746,58;26826,564;29218,218;21805,851;23459,96;24073,004;21950,762;17489,91;16087,994;8921,712;10440,469;13160,79;11955,565;2673,49;6533,844;16252,024;3855,971;5257,487;20416,637;5877,906897;2773,523146;31797,54244;20719,67234;56588,11499
Italy;Burundi;Import;  All Products;Import (US$ Thousand);1895,714;1712,307;529,68;323,729;318,435;261,564;324,993;1285,273;247,83;1024,126;533,132;3395,023;3783,421;1013,779;1826,881;2885,46;1122,81;2909,598;1975,15;3768,579;3773,624;3544,675248;2097,821181;2169,365305;2086,235294;2061,972443
Italy;Cambodia;Import;  All Products;Import (US$ Thousand);1884,675;4041,743;5504,539;8844,174;10761,84;8667,121;3258,144;5273,337;5997,018;6610,459;10721,148;8495,865;12152,492;25833,223;43797,257;42934,939;83701,784;142541,595;181220,184;246287,685;296362,212;330411,7091;339725,7999;367151,7172;440352,9986;431290,4439
Italy;Cameroon;Import;  All Products;Import (US$ Thousand);314387,136;363355,296;431647,392;537584,128;492179,072;419739,143;699610,54;565214,851;366831,594;405549,906;469907,703;553042,032;798321,116;869359,811;820089,355;506885,085;451798,672;512376,464;353864,198;153398,513;470655,165;230502,8807;428371,1993;364377,3063;537364,7695;525422,8227
Italy;Canada;Import;  All Products;Import (US$ Thousand);1457236,736;1803098,752;1856313,472;1734094,848;1632548,992;1495806,111;1769673,422;1392154,266;1171201,415;1411879,027;1669866,099;1728488,385;1686279,065;2325367,963;2575434,885;1636246,501;1983137,677;2294309,668;2231640,153;2135029,639;3301106,994;1619007,48;1637037,658;1751185,994;1784085,206;1957090,619
Italy;Cape Verde;Import;  All Products;Import (US$ Thousand);107,56;101,19;980,744;28,778;125,484;98,186;39,577;10,205;77,28;77,507;30,772;385,904;268,246;753,562;369,141;104,681;110,62;76,977;380,4;3661,807;3881,702;2426,90699;7317,336764;7335,309155;10466,74172;8359,097436
Italy;Cayman Islands;Import;  All Products;Import (US$ Thousand);2258,757;7311,029;2670,934;10743,215;1003,639;8904,527;17502,359;32766,99;30948,493;71465,084;117282,536;123010,72;8864,894;41932,728;46549,675;14109,649;41304,861;1024,463;12160,797;1534,393;66912,217;34504,80019;31341,34156;12150,1259;10972,57578;6020,693427
Italy;Central African Republic;Import;  All Products;Import (US$ Thousand);6444,712;14849,145;6249,923;4943,515;6166,46;3356,815;3805,51;7309,236;7606,221;14042,449;12515,142;10105,092;5847,438;10385,946;10545,767;3230,288;1633,308;2075,231;1688,784;731,048;202,604;413,9919412;1456,78047;1043,736502;1143,850192;3278,089061
Italy;Chad;Import;  All Products;Import (US$ Thousand);2337,75;1838,59;2285,838;3109,152;1245,24;879,343;208,228;949,471;473,991;973,472;523,377;396,466;202,735;94,019;31,395;20,106;59,679;4301,25;101,786;2677,777;191,612;52992,63895;35,8128679;1379,041221;700,8194222;11,46470758
Italy;Chile;Import;  All Products;Import (US$ Thousand);392635,648;625101,12;569007,872;519638,656;676576,192;735048,715;866607,935;877556,33;916667,878;1147802,969;1600541,728;1786003,004;2848314,976;3557517,725;3179342,517;1486424,303;2535514,222;2868889,285;2109644,23;1632832,08;1619699,522;1234828,219;906689,1849;951128,5813;893263,0155;782652,9916
